tiempo_seg,brillo_raw,brillo_255
0.00,720,44
1.00,800,49
2.00,879,54
3.00,955,59
4.00,1025,63
5.00,1088,67
6.00,1145,71
7.00,1111,69
8.00,1154,71
9.00,1192,74
10.00,1226,76
11.00,1257,78
12.00,1288,80
13.00,1320,82
14.00,1272,79
15.00,1313,81
16.00,1360,84
17.00,1414,88
18.00,1474,91
19.00,1542,96
20.00,1615,100
21.00,1608,100
22.00,1688,105
23.00,1770,110
24.00,1850,115
25.00,1927,119
26.00,1999,124
27.00,2066,128
28.00,2041,127
29.00,2094,130
30.00,2140,133
31.00,2181,135
32.00,2216,137
33.00,2248,139
34.00,2279,141
35.00,2227,138
36.00,2261,140
37.00,2299,143
38.00,2343,145
39.00,2394,149
40.00,2451,152
41.00,2516,156
42.00,2503,155
43.00,2578,160
44.00,2658,165
45.00,2739,170
46.00,2819,175
47.00,2898,180
48.00,2972,185
49.00,2958,184
50.00,3021,188
51.00,3077,191
52.00,3126,194
53.00,3168,197
54.00,3205,199
55.00,3239,201
56.00,3186,198
57.00,3217,200
58.00,3250,202
59.00,3286,204
